Gender,Geographic Region,Loyalty Status,Neigborhood Cluster-55 Level,Neighborhood Cluster-7 Level,Television Region,Affluence Grade,Age,Loyalty Card Tenure,ORGANICS
F,Midlands,Gold,16.0,C,Midlands,6,75,14,0
M,Midlands,Silver,49.0,F,East,8,24,1,1
M,North,Silver,18.0,C,N West,4,64,14,0
M,Scottish,Silver,52.0,F,C Scotland,15,41,9,1
F,North,Silver,16.0,C,Yorkshire,5,70,5,0
M,South East,Tin,27.193651677572046,C,S & S East,14,44,5,1
M,North,Silver,51.0,F,Yorkshire,5,68,4,0
M,South East,Tin,8.0,B,London,8,56,8,0
M,North,Tin,41.0,E,Yorkshire,8,53,9,0
M,Midlands,Gold,8.0,B,Wales & West,9,63,4,0
F,North,Tin,24.0,C,N West,9,49,7,0
F,South East,Silver,25.0,C,London,4,41,3,0
M,Midlands,Silver,52.0,F,Midlands,11,46,9,0
M,North,Tin,27.0,D,N East,8,47,5,0
M,North,Tin,27.0,D,N West,9,54,5,0
M,Midlands,Gold,8.0,B,Midlands,7,53,4,1
M,Midlands,Gold,24.0,C,Midlands,9,45,1,0
F,South East,Silver,24.0,C,S & S East,7,56,1,0
F,Midlands,Silver,38.0,E,Midlands,11,36,4,0
F,Midlands,Gold,32.0,D,Wales & West,4,59,2,0
F,North,Tin,51.0,F,Yorkshire,8,45,5,0
F,North,Silver,35.0,D,Yorkshire,6,42,5,0
F,Scottish,Silver,37.0,E,C Scotland,4,75,14,0
F,South East,Gold,14.0,B,London,9,67,7,0
F,Midlands,Tin,32.0,D,Midlands,4,53,5,0
F,South East,Gold,5.0,B,S & S East,10,66,6,0
F,Midlands,Silver,52.0,F,Midlands,9,64,8,1
F,Midlands,Tin,19.0,C,Midlands,10,31,8,1
M,North,Tin,28.0,D,Yorkshire,9,53,5,0
F,South East,Tin,38.0,E,London,7,34,4,0
F,South East,Silver,8.0,B,London,9,76,9,0
M,North,Silver,24.0,C,N West,7,45,5,0
F,South West,Tin,11.0,B,S West,4,44,5,0
M,South East,Silver,8.0,B,S & S East,4,68,9,0
M,South East,Gold,12.0,B,London,12,52,3,0
F,Midlands,Tin,16.0,C,Wales & West,10,46,5,0
F,Midlands,Silver,51.0,F,East,12,53,14,0
M,North,Tin,53.0,F,N West,12,64,4,0
F,South East,Platinum,8.0,B,S & S East,8,70,3,0
F,North,Silver,14.0,B,N West,7,59,11,0
F,South East,Tin,22.0,C,London,11,48,8,0
F,South East,Silver,30.0,D,S & S East,4,61,14,0
F,Midlands,Tin,5.0,B,Midlands,8,35,7,1
F,Midlands,Silver,19.0,C,Midlands,11,51,5,1
F,South East,Silver,52.0,F,London,8,69,7,0
F,North,Tin,27.193651677572046,F,N West,8,43,5,1
M,South East,Silver,7.0,B,London,7,62,6,0
M,South East,Tin,13.0,B,S & S East,8,62,5,0
M,Midlands,Silver,25.0,C,Midlands,12,57,4,0
F,South East,Silver,31.0,D,London,10,51,9,0
M,Midlands,Silver,8.0,B,Midlands,8,54,6,0
M,North,Silver,4.0,A,Yorkshire,6,66,4,0
M,Midlands,Silver,27.0,D,Wales & West,6,64,1,0
M,South East,Silver,22.0,C,London,7,46,11,0
F,South East,Silver,35.0,D,London,10,64,5,0
M,South East,Gold,40.0,E,S & S East,6,77,14,0
M,South East,Silver,27.0,D,London,14,43,8,1
F,Midlands,Silver,12.0,B,East,15,41,6,1
F,South East,Gold,30.0,D,London,15,72,3,0
F,Scottish,Silver,16.0,C,N Scot,8,70,7,0
F,Midlands,Tin,47.0,F,Midlands,8,54,5,0
M,South East,Gold,52.0,F,London,6,78,3,0
M,South East,Silver,28.0,D,S & S East,7,60,2,0
M,South East,Gold,52.0,F,London,11,70,8,0
F,North,Tin,23.0,C,N East,4,56,8,0
M,Midlands,Gold,27.193651677572046,C,Ulster,10,42,9,0
M,South East,Silver,21.0,C,London,8,66,1,0
F,Scottish,Tin,47.0,F,C Scotland,9,50,4,1
F,South East,Tin,27.0,D,London,12,54,8,0
F,North,Tin,37.0,E,N West,8,57,6,0
F,South East,Gold,28.0,D,S & S East,12,69,14,0
M,Midlands,Silver,27.0,D,Wales & West,10,64,11,0
F,South East,Tin,48.0,F,London,4,53,8,1
F,South West,Silver,51.0,F,S West,7,31,1,0
M,Midlands,Silver,27.193651677572046,F,Ulster,9,69,9,0
M,South East,Gold,52.0,F,London,4,46,1,0
F,North,Tin,37.0,E,Yorkshire,8,41,4,0
F,Midlands,Silver,53.0,F,Midlands,10,49,9,0
F,Midlands,Tin,46.0,F,East,12,45,4,0
M,Midlands,Silver,12.0,B,Midlands,12,53,5,0
M,South East,Gold,44.0,E,London,5,62,8,0
M,North,Silver,33.0,D,Yorkshire,8,61,7,0
M,North,Tin,12.0,B,Yorkshire,9,49,5,0
M,South East,Tin,5.0,B,London,10,37,5,0
M,South East,Platinum,10.0,B,London,8,59,12,0
M,South East,Gold,18.0,C,London,9,45,3,0
M,Midlands,Tin,16.0,C,Midlands,7,68,8,0
F,South East,Gold,21.0,C,London,7,66,14,0
F,South East,Tin,22.0,C,S & S East,9,34,5,1
F,North,Tin,4.0,A,N West,13,51,9,1
F,South West,Silver,15.0,B,S West,12,48,4,1
F,Midlands,Gold,53.0,F,Midlands,8,61,4,0
F,North,Gold,6.0,B,N East,4,61,2,0
F,Midlands,Silver,8.0,B,Wales & West,7,61,4,0
M,Midlands,Silver,37.0,E,East,10,60,6,0
M,North,Gold,10.0,B,N West,13,65,4,0
M,Midlands,Gold,28.0,D,East,9,53,13,0
F,North,Gold,8.0,B,N West,8,64,1,0
F,South East,Platinum,12.0,B,London,5,72,8,0
F,North,Silver,32.0,D,N West,5,54,3,0
F,South East,Gold,46.0,F,S & S East,12,62,11,1
F,South East,Silver,28.0,D,S & S East,13,46,10,0
F,South East,Silver,27.0,D,S & S East,8,32,3,1
F,North,Silver,53.0,F,Yorkshire,13,53,14,1
F,North,Silver,32.0,D,Yorkshire,5,50,1,0
F,South East,Gold,5.0,B,S & S East,4,44,8,0
F,South East,Gold,9.0,B,London,10,53,9,0
F,Midlands,Silver,51.0,F,Midlands,9,53,7,0
F,Midlands,Gold,23.0,C,Midlands,6,54,8,0
M,Midlands,Gold,2.0,A,Wales & West,11,60,8,1
F,North,Silver,31.0,D,N West,9,33,8,0
M,South West,Silver,49.0,F,S West,9,74,10,0
F,Midlands,Gold,28.0,D,East,6,65,4,0
F,South East,Silver,5.0,B,London,12,41,1,0
F,Midlands,Gold,47.0,F,Midlands,8,40,1,1
F,Midlands,Silver,24.0,C,East,12,66,1,0
F,South East,Silver,14.0,B,London,6,76,6,0
M,Midlands,Silver,51.0,F,East,6,77,11,0
F,South East,Gold,23.0,C,S & S East,12,72,13,0
F,South East,Silver,9.0,B,London,4,47,5,0
F,South East,Gold,1.0,A,London,11,70,14,0
M,North,Silver,33.0,D,Yorkshire,4,49,5,0
F,South East,Silver,37.0,E,London,13,71,5,1
F,Scottish,Silver,11.0,B,C Scotland,8,31,1,0
F,Scottish,Silver,9.0,B,C Scotland,8,75,14,0
M,Midlands,Silver,16.0,C,East,9,42,9,0
M,North,Gold,52.0,F,N West,8,50,1,0
F,Midlands,Tin,24.0,C,Wales & West,14,40,4,0
F,North,Gold,49.0,F,N East,5,66,8,0
F,South East,Gold,27.0,D,London,6,68,5,0
F,North,Tin,47.0,F,N West,13,24,4,0
F,South East,Gold,46.0,F,London,8,63,6,0
F,Midlands,Platinum,34.0,D,Midlands,8,57,4,0
F,Midlands,Gold,51.0,F,Midlands,8,60,2,0
F,South West,Silver,6.0,B,S West,6,79,5,0
F,Midlands,Gold,34.0,D,Midlands,7,61,7,1
M,Midlands,Gold,52.0,F,Midlands,6,66,7,0
M,South East,Silver,5.0,B,London,14,53,3,0
F,North,Gold,38.0,E,N West,8,53,7,0
F,Scottish,Silver,17.0,C,C Scotland,6,38,6,0
F,Scottish,Tin,51.0,F,Border,5,39,5,1
F,Midlands,Silver,53.0,F,Midlands,6,62,3,0
F,Scottish,Tin,53.0,F,C Scotland,14,43,5,0
F,South East,Platinum,28.0,D,London,14,68,2,0
F,North,Gold,25.0,C,N West,9,34,7,0
F,South East,Silver,51.0,F,S & S East,10,71,6,0
M,Midlands,Gold,49.0,F,East,6,63,1,0
M,North,Silver,32.0,D,Yorkshire,8,53,5,1
F,South East,Gold,12.0,B,London,6,52,8,1
M,Midlands,Gold,53.0,F,Midlands,8,55,2,0
M,North,Tin,53.0,F,Yorkshire,11,62,5,0
M,Scottish,Tin,23.0,C,Border,9,49,8,1
F,Midlands,Gold,27.193651677572046,C,Ulster,7,53,8,0
F,North,Gold,27.193651677572046,C,N West,7,59,6,0
F,Midlands,Tin,8.0,B,Midlands,10,40,7,0
F,Scottish,Gold,3.0,A,C Scotland,9,52,2,0
F,Midlands,Silver,27.193651677572046,A,Ulster,4,72,6,0
F,Midlands,Silver,17.0,C,Midlands,9,53,13,0
F,South East,Silver,9.0,B,London,8,58,8,0
F,South East,Gold,20.0,C,London,7,38,9,0
F,Midlands,Platinum,13.0,B,Wales & West,9,68,1,0
F,South East,Silver,41.0,E,S & S East,8,36,6,1
F,South East,Gold,21.0,C,London,11,47,9,1
F,Midlands,Tin,50.0,F,Midlands,8,53,9,1
M,South East,Silver,46.0,F,London,5,46,5,0
M,South West,Silver,6.0,B,S West,14,70,14,1
M,South East,Gold,27.0,D,London,8,67,2,0
F,South East,Tin,48.0,F,London,5,43,5,1
F,South East,Gold,32.0,D,London,7,62,2,0
M,South East,Gold,34.0,D,London,6,63,10,0
F,Midlands,Silver,53.0,F,Midlands,8,61,1,1
F,Midlands,Gold,27.193651677572046,F,East,11,35,6,1
F,South East,Silver,4.0,A,London,6,45,11,0
F,Scottish,Gold,35.0,D,N Scot,4,65,14,0
F,North,Silver,16.0,C,Yorkshire,9,71,1,0
F,South East,Gold,38.0,E,S & S East,8,77,8,1
F,Midlands,Silver,16.0,C,Midlands,8,71,4,1
M,Midlands,Tin,47.0,F,East,8,38,8,0
F,South East,Tin,19.0,C,London,8,36,5,0
F,South East,Silver,4.0,A,London,4,25,5,0
F,Midlands,Tin,52.0,F,East,10,48,7,0
F,North,Gold,23.0,C,N West,9,70,14,0
F,Midlands,Silver,24.0,C,East,7,74,5,0
F,South East,Gold,4.0,A,London,11,78,6,1
F,South East,Tin,25.0,C,London,4,49,9,0
M,North,Silver,52.0,F,N West,4,39,2,1
F,South East,Tin,48.0,F,London,9,28,7,0
F,South East,Tin,1.0,A,London,7,53,8,0
F,Midlands,Silver,23.0,C,Wales & West,10,68,5,0
F,South East,Silver,4.0,A,London,9,53,6,0
F,Midlands,Gold,51.0,F,East,4,65,2,0
F,South East,Gold,14.0,B,London,7,57,2,1
F,South East,Tin,27.0,D,S & S East,9,37,8,1
F,Scottish,Silver,10.0,B,C Scotland,12,52,14,1
F,North,Gold,10.0,B,N East,9,73,3,0
F,South East,Silver,48.0,F,London,13,50,12,0
F,Scottish,Gold,9.0,B,C Scotland,10,71,6,0
F,South East,Tin,38.0,E,S & S East,11,58,5,0
M,South East,Tin,25.0,C,S & S East,12,43,10,1
M,Midlands,Silver,45.0,E,Midlands,6,59,1,0
F,North,Gold,32.0,D,Yorkshire,8,61,2,1
M,South East,Tin,10.0,B,London,6,47,5,1
F,South East,Silver,12.0,B,S & S East,5,52,5,0
F,Midlands,Tin,27.193651677572046,B,Ulster,9,47,10,0
F,South East,Tin,26.0,C,London,9,37,8,1
F,North,Tin,51.0,F,N West,7,56,4,0
M,North,Tin,53.0,F,N West,14,42,5,0
F,South East,Gold,31.0,D,London,9,60,5,0
F,Midlands,Silver,16.0,C,Midlands,4,43,8,0
F,North,Silver,31.0,D,N East,9,53,8,0
F,South East,Gold,28.0,D,S & S East,11,44,4,1
F,Midlands,Tin,33.0,D,Midlands,9,44,8,0
F,Midlands,Tin,12.0,B,Wales & West,5,53,10,0
F,South East,Tin,28.0,D,S & S East,11,53,9,1
F,South East,Silver,32.0,D,S & S East,6,71,11,0
F,South West,Gold,44.0,E,S West,10,67,7,1
F,South East,Silver,38.0,E,London,8,27,9,1
F,South East,Tin,51.0,F,S & S East,15,53,9,1
F,Midlands,Silver,54.0,F,East,11,39,5,0
M,North,Tin,38.0,E,N West,10,27,4,1
F,South East,Silver,29.0,D,London,8,53,5,0
M,South East,Tin,51.0,F,London,8,53,7,0
M,North,Gold,49.0,F,Yorkshire,9,73,4,0
M,North,Silver,35.0,D,N West,8,61,7,0
M,Midlands,Silver,2.0,A,East,6,46,8,0
M,South East,Gold,20.0,C,London,10,61,1,0
F,South East,Tin,42.0,E,London,9,53,4,1
F,South East,Silver,28.0,D,London,6,36,9,1
M,North,Gold,10.0,B,N East,10,55,8,0
M,Midlands,Silver,45.0,E,Midlands,6,63,8,0
F,Midlands,Gold,51.0,F,Wales & West,6,35,1,0
F,Midlands,Gold,27.193651677572046,F,Wales & West,7,73,8,0
M,South East,Platinum,37.0,E,London,6,55,2,0
M,South East,Silver,21.0,C,London,9,65,11,0
M,South East,Silver,52.0,F,London,13,28,4,0
M,South West,Tin,27.0,D,S West,7,37,5,0
F,South East,Tin,31.0,D,London,7,36,4,0
F,Midlands,Gold,32.0,D,Midlands,9,37,2,0
F,South East,Platinum,19.0,C,S & S East,4,70,8,0
M,South East,Gold,25.0,C,London,7,74,11,0
F,Midlands,Tin,24.0,C,Wales & West,7,59,7,0
F,Midlands,Silver,37.0,E,Midlands,11,60,8,0
F,South East,Gold,23.0,C,S & S East,11,50,3,1
M,South East,Silver,37.0,E,London,11,70,10,0
F,Midlands,Gold,27.0,D,East,7,44,8,0
F,Midlands,Silver,53.0,F,Midlands,10,52,13,0
M,North,Tin,28.0,D,N West,5,53,4,1
F,South East,Tin,25.0,C,London,9,49,5,0
F,South East,Silver,32.0,D,London,4,53,1,1
F,Midlands,Gold,8.0,B,Midlands,8,69,14,0
M,North,Gold,52.0,F,N East,7,64,1,0
M,South West,Silver,15.0,B,S West,5,68,1,0
F,South West,Tin,22.0,C,S West,11,28,5,1
F,South East,Tin,5.0,B,S & S East,9,49,9,0
F,North,Tin,25.0,C,N West,4,53,8,0
F,Midlands,Tin,27.193651677572046,C,Wales & West,6,47,10,1
F,South East,Tin,14.0,B,S & S East,10,57,5,0
M,Midlands,Tin,32.0,D,East,8,41,8,0
M,Midlands,Silver,24.0,C,East,15,52,1,0
F,South East,Silver,22.0,C,S & S East,8,59,5,0
F,North,Gold,41.0,E,Yorkshire,4,60,2,0
M,Midlands,Silver,49.0,F,East,4,53,3,0
F,North,Gold,4.0,A,N West,5,60,4,0
F,North,Tin,28.0,D,N West,10,76,9,1
F,North,Gold,19.0,C,N West,6,53,9,0
F,Midlands,Gold,51.0,F,Midlands,4,65,8,0
F,North,Silver,31.0,D,N West,4,50,1,0
M,Midlands,Tin,19.0,C,Wales & West,7,52,7,0
F,South East,Silver,37.0,E,London,8,66,10,0
F,Midlands,Tin,45.0,E,Midlands,6,30,5,1
F,Midlands,Gold,5.0,B,Midlands,9,52,1,1
F,South West,Tin,6.0,B,S West,7,52,8,0
M,Midlands,Silver,53.0,F,Wales & West,10,53,1,1
M,South East,Tin,28.0,D,S & S East,9,30,7,1
F,Midlands,Silver,8.0,B,East,8,64,10,0
F,South East,Tin,14.0,B,London,8,45,5,0
M,Midlands,Silver,8.0,B,East,5,44,6,0
M,South East,Silver,24.0,C,S & S East,8,79,9,0
M,Midlands,Silver,19.0,C,Midlands,4,49,1,0
M,South East,Tin,9.0,B,London,12,29,5,0
M,Midlands,Gold,53.0,F,Midlands,6,53,2,0
F,Midlands,Tin,23.0,C,Wales & West,4,29,5,0
F,Midlands,Gold,11.0,B,Wales & West,7,46,5,1
F,South East,Tin,9.0,B,London,15,58,6,1
F,Midlands,Silver,37.0,E,Midlands,15,38,10,1
F,South East,Tin,27.0,D,London,8,46,5,0
F,South East,Platinum,24.0,C,London,9,74,8,0
F,North,Gold,10.0,B,Yorkshire,5,60,4,0
M,South East,Silver,18.0,C,S & S East,5,76,11,0
F,South East,Tin,27.0,D,S & S East,6,45,5,0
F,South East,Tin,53.0,F,London,7,33,4,0
M,South East,Gold,28.0,D,London,8,46,2,0
M,Midlands,Silver,19.0,C,Midlands,7,39,1,0
F,Midlands,Silver,54.0,F,East,13,36,1,1
F,South West,Silver,27.193651677572046,F,S West,9,27,4,1
M,South West,Tin,27.193651677572046,F,S West,8,60,5,0
F,South East,Silver,4.0,A,London,5,66,9,0
F,Midlands,Gold,35.0,D,East,6,76,6,0
F,South East,Silver,38.0,E,London,5,34,5,0
F,North,Gold,28.0,D,N West,9,53,4,1
F,South East,Tin,34.0,D,London,12,41,5,1
F,South East,Tin,28.0,D,S & S East,8,46,9,0
F,South East,Silver,53.0,F,London,4,54,1,0
F,South East,Gold,38.0,E,London,9,61,8,1
F,South East,Tin,27.0,D,London,8,38,8,0
F,Midlands,Gold,23.0,C,Midlands,14,77,4,0
F,South East,Tin,52.0,F,London,7,34,5,1
F,Midlands,Tin,37.0,E,East,6,33,4,0
F,South East,Silver,12.0,B,London,9,55,8,1
M,Midlands,Silver,2.0,A,Midlands,15,64,8,0
F,Midlands,Gold,52.0,F,Wales & West,7,59,1,1
F,Scottish,Silver,14.0,B,Border,12,49,1,0
F,Midlands,Gold,5.0,B,Midlands,7,75,1,0
F,Midlands,Gold,16.0,C,Midlands,7,61,2,0
F,Midlands,Silver,23.0,C,East,9,57,2,0
F,Midlands,Tin,32.0,D,Midlands,4,51,7,0
F,South East,Platinum,9.0,B,London,10,30,7,1
F,Scottish,Tin,52.0,F,Border,4,57,5,0
M,South East,Silver,22.0,C,London,9,53,5,0
M,Midlands,Tin,51.0,F,Wales & West,9,33,5,0
M,South East,Gold,22.0,C,London,7,35,7,1
M,North,Silver,17.0,C,N West,11,53,9,0
F,South East,Silver,24.0,C,S & S East,4,68,2,0
F,Scottish,Gold,41.0,E,C Scotland,5,74,8,0
M,South East,Tin,30.0,D,S & S East,10,51,5,0
F,Midlands,Gold,46.0,F,Wales & West,5,72,3,1
F,South East,Gold,12.0,B,London,7,58,3,0
F,South East,Tin,10.0,B,London,9,59,8,0
M,North,Gold,12.0,B,N East,4,71,2,0
F,Scottish,Gold,17.0,C,C Scotland,5,42,9,0
F,North,Gold,28.0,D,Yorkshire,6,61,8,0
F,North,Gold,37.0,E,Yorkshire,6,74,2,0
F,North,Tin,10.0,B,Yorkshire,7,45,6,0
F,South East,Gold,29.0,D,London,7,63,5,0
F,South East,Silver,27.0,D,London,9,57,6,0
F,South East,Silver,25.0,C,S & S East,14,70,5,0
F,North,Tin,51.0,F,N West,15,38,4,1
M,South East,Tin,44.0,E,London,14,67,9,1
M,Midlands,Silver,34.0,D,Midlands,4,44,10,0
F,South West,Gold,52.0,F,S West,12,52,3,1
M,Scottish,Tin,23.0,C,N Scot,15,54,4,0
F,South East,Silver,22.0,C,London,13,47,5,1
F,North,Tin,49.0,F,Yorkshire,7,53,4,0
M,South East,Tin,28.0,D,S & S East,7,66,10,0
M,South East,Platinum,19.0,C,London,9,75,12,0
M,South East,Silver,40.0,E,London,7,54,11,0
M,South East,Gold,32.0,D,London,5,68,6,0
M,Midlands,Gold,18.0,C,Wales & West,12,59,3,0
F,Midlands,Gold,14.0,B,Wales & West,9,37,1,0
M,South East,Gold,37.0,E,S & S East,13,59,2,0
F,Midlands,Silver,28.0,D,Wales & West,5,74,8,0
M,North,Silver,12.0,B,N East,7,70,5,0
F,Midlands,Gold,34.0,D,Wales & West,9,49,4,0
F,North,Silver,37.0,E,Yorkshire,14,27,1,0
F,North,Gold,27.0,D,N West,6,59,2,0
F,South East,Silver,28.0,D,S & S East,6,46,12,0
F,North,Tin,20.0,C,N West,11,42,4,0
M,North,Silver,32.0,D,N West,8,56,5,0
M,Scottish,Silver,23.0,C,N Scot,14,52,5,1
F,Midlands,Gold,42.0,E,Wales & West,9,71,3,0
F,South East,Tin,27.0,D,London,15,37,6,1
F,South East,Silver,44.0,E,London,15,48,9,1
F,North,Gold,35.0,D,N East,9,72,5,0
F,South East,Gold,12.0,B,London,13,44,1,1
M,North,Tin,23.0,C,Yorkshire,9,53,5,0
M,Midlands,Silver,25.0,C,Midlands,8,48,11,0
M,Midlands,Gold,37.0,E,Wales & West,11,54,5,0
F,South East,Tin,12.0,B,London,8,33,8,1
F,South West,Silver,51.0,F,S West,5,53,10,0
M,North,Silver,14.0,B,N West,8,60,8,1
F,South East,Gold,30.0,D,S & S East,5,64,6,0
F,Midlands,Silver,35.0,D,Wales & West,14,41,5,1
F,Midlands,Silver,34.0,D,Wales & West,14,40,4,1
F,Midlands,Gold,33.0,D,Midlands,9,59,11,0
F,Scottish,Tin,25.0,C,Border,9,46,4,0
F,South East,Gold,49.0,F,S & S East,7,39,8,0
F,Scottish,Silver,52.0,F,Border,15,62,5,1
F,Midlands,Gold,8.0,B,Midlands,9,65,1,0
F,South West,Silver,6.0,B,S West,7,53,10,1
M,South East,Gold,21.0,C,London,9,66,5,0
M,South East,Gold,35.0,D,S & S East,15,65,14,0
F,South East,Silver,10.0,B,London,5,51,1,1
F,South East,Gold,27.0,D,London,8,46,8,0
M,Midlands,Gold,12.0,B,Midlands,6,49,7,0
F,Midlands,Silver,9.0,B,Midlands,6,37,1,0
M,Scottish,Silver,42.0,E,C Scotland,12,71,3,0
F,Midlands,Tin,35.0,D,Midlands,5,52,14,0
M,South East,Tin,41.0,E,London,15,29,5,1
F,North,Silver,35.0,D,N West,4,59,12,0
F,South East,Tin,34.0,D,S & S East,7,47,8,1
M,North,Tin,19.0,C,Yorkshire,7,44,7,0
F,Scottish,Platinum,35.0,D,Border,11,62,12,0
F,South East,Silver,27.0,D,London,8,56,11,1
F,Midlands,Tin,38.0,E,East,8,33,5,0
M,North,Silver,10.0,B,N West,5,61,1,0
F,South East,Tin,25.0,C,S & S East,4,48,11,0
F,Midlands,Gold,19.0,C,Midlands,5,49,1,0
M,North,Tin,4.0,A,N West,9,62,5,0
F,South East,Gold,4.0,A,London,11,67,7,1
F,Scottish,Tin,49.0,F,Border,13,34,5,1
F,Midlands,Silver,52.0,F,Wales & West,11,29,6,0
F,Midlands,Silver,32.0,D,Wales & West,15,39,4,1
F,South East,Tin,53.0,F,S & S East,11,36,4,0
F,North,Tin,34.0,D,N West,4,50,5,0
M,South East,Gold,35.0,D,London,9,64,5,0
M,South East,Gold,4.0,A,London,4,67,7,0
F,South East,Tin,9.0,B,London,8,56,9,1
F,South East,Silver,49.0,F,S & S East,8,58,4,0
F,Scottish,Tin,17.0,C,C Scotland,7,62,5,0
F,Midlands,Tin,4.0,A,East,6,47,8,0
F,South East,Silver,7.0,B,London,7,70,8,0
M,South East,Tin,38.0,E,S & S East,12,32,7,1
F,North,Gold,53.0,F,Yorkshire,8,49,2,0
M,North,Silver,39.0,E,Yorkshire,10,34,1,1
M,Midlands,Tin,27.0,D,Wales & West,10,40,5,0
M,South East,Silver,9.0,B,London,7,47,1,0
F,North,Platinum,53.0,F,Yorkshire,12,56,3,0
F,Midlands,Silver,16.0,C,Wales & West,5,71,14,0
F,North,Tin,35.0,D,Yorkshire,9,46,7,1
F,North,Silver,38.0,E,N West,8,42,13,1
F,Midlands,Platinum,37.0,E,Midlands,8,53,12,0
F,North,Silver,52.0,F,N West,6,52,7,0
F,South East,Tin,27.0,D,S & S East,4,54,5,0
F,South East,Tin,8.0,B,London,6,38,4,0
F,South East,Silver,14.0,B,London,8,71,1,0
M,Midlands,Tin,10.0,B,Wales & West,6,33,4,0
F,North,Gold,32.0,D,Yorkshire,11,58,2,0
F,South East,Tin,14.0,B,London,7,55,11,0
F,Scottish,Tin,38.0,E,C Scotland,8,36,7,1
M,North,Gold,27.0,D,N West,4,75,5,0
F,North,Gold,12.0,B,N East,10,52,8,1
F,North,Tin,28.0,D,Yorkshire,4,58,7,0
F,Midlands,Platinum,32.0,D,Midlands,5,57,3,0
F,North,Gold,12.0,B,N East,14,56,6,1
F,North,Tin,8.0,B,N West,5,52,5,0
M,South East,Platinum,5.0,B,London,8,77,5,0
F,South East,Tin,27.193651677572046,B,London,8,33,5,1
M,North,Silver,37.0,E,N West,8,61,5,0
M,South West,Silver,30.0,D,S West,11,51,1,0
F,Scottish,Tin,10.0,B,C Scotland,8,33,5,1
F,South East,Gold,2.0,A,London,6,70,3,0
M,South East,Tin,16.0,C,London,8,57,9,0
F,South East,Silver,3.0,A,London,9,47,9,0
F,South East,Silver,48.0,F,S & S East,12,40,9,1
F,Scottish,Tin,1.0,A,C Scotland,6,60,4,1
F,South East,Gold,9.0,B,London,9,62,2,0
F,North,Tin,53.0,F,N West,12,53,4,1
F,South East,Silver,21.0,C,London,8,46,6,0
F,South East,Silver,38.0,E,London,12,52,6,0
M,Midlands,Tin,8.0,B,Midlands,8,33,6,1
F,Midlands,Gold,37.0,E,Wales & West,7,60,8,1
F,South East,Gold,28.0,D,London,4,40,1,0
F,South East,Tin,18.0,C,London,15,39,8,1
F,North,Silver,25.0,C,Yorkshire,8,46,11,0
F,South East,Silver,19.0,C,S & S East,4,58,4,0
M,North,Silver,13.0,B,N West,10,64,6,0
F,North,Silver,28.0,D,Yorkshire,8,46,9,0
F,Midlands,Silver,53.0,F,Wales & West,8,74,13,0
F,South East,Tin,12.0,B,London,8,39,4,1
F,North,Silver,25.0,C,N West,11,69,2,1
M,North,Gold,12.0,B,N West,6,67,8,0
F,South East,Tin,26.0,C,London,15,35,4,1
M,South East,Tin,26.0,C,London,10,35,8,0
M,Midlands,Tin,34.0,D,Midlands,6,44,10,0
M,North,Silver,12.0,B,N West,5,55,1,0
F,South East,Silver,35.0,D,S & S East,7,61,8,0
M,North,Tin,12.0,B,N West,10,41,5,0
F,Scottish,Silver,15.0,B,Border,8,66,8,0
F,Midlands,Gold,52.0,F,Midlands,4,75,2,0
M,South East,Silver,1.0,A,London,8,65,1,0
F,South East,Gold,12.0,B,London,15,55,5,0
F,North,Tin,38.0,E,Yorkshire,8,31,5,0
F,North,Gold,32.0,D,Yorkshire,6,61,2,0
F,South East,Gold,52.0,F,London,5,75,4,0
M,South West,Tin,24.0,C,S West,12,48,8,0
F,Midlands,Gold,34.0,D,East,11,41,1,0
F,North,Tin,23.0,C,Yorkshire,11,50,4,0
F,North,Tin,2.0,A,N East,5,32,4,0
M,South East,Silver,29.0,D,London,5,37,12,0
M,South East,Gold,14.0,B,London,6,69,1,0
F,South East,Gold,9.0,B,London,4,62,5,0
F,Midlands,Silver,35.0,D,Midlands,9,62,9,0
F,Midlands,Tin,19.0,C,Wales & West,14,38,8,1
F,South East,Silver,14.0,B,S & S East,13,59,9,0
M,South East,Tin,21.0,C,London,5,34,8,1
F,South West,Gold,23.0,C,S West,6,63,1,0
F,North,Silver,2.0,A,N West,10,53,9,1
F,South East,Gold,27.0,D,London,13,55,7,1
F,South East,Silver,9.0,B,London,10,36,8,0
M,South East,Gold,7.0,B,London,4,69,4,0
M,South East,Tin,34.0,D,S & S East,5,61,5,0
M,South East,Silver,27.0,D,London,5,34,1,0
F,Midlands,Gold,8.0,B,Wales & West,11,64,4,1
F,Midlands,Tin,17.0,C,Midlands,11,46,4,0
M,South East,Silver,31.0,D,London,10,73,5,0
M,South East,Gold,9.0,B,S & S East,6,69,7,0
F,North,Gold,8.0,B,Yorkshire,12,56,4,1
F,South East,Silver,8.0,B,London,9,54,5,0
M,Midlands,Tin,52.0,F,Midlands,8,60,7,0
M,Midlands,Tin,44.0,E,Midlands,13,42,14,1
F,North,Silver,38.0,E,Yorkshire,6,48,11,0
F,Midlands,Silver,32.0,D,Midlands,9,62,8,0
F,South East,Silver,37.0,E,S & S East,9,63,5,1
F,North,Tin,38.0,E,N West,12,44,7,1
M,South East,Tin,42.0,E,S & S East,6,53,4,0
F,North,Gold,14.0,B,N West,4,58,8,0
